Date,Open,High,Low,Close,Adj Close,Volume,sentiment_score
2019-12-04,1307.010010,1325.800049,1304.869995,1320.540039,1320.540039,1537500,0.51705
2019-12-05,1328.000000,1329.358032,1316.439941,1328.130005,1328.130005,1212700,0.423805084745763
2019-12-06,1333.439941,1344.000000,1333.439941,1340.619995,1340.619995,1314800,0.460043023255814
2019-12-09,1338.040039,1359.449951,1337.839966,1343.560059,1343.560059,1354300,0.510509230769231
2019-12-10,1341.500000,1349.974976,1336.040039,1344.660034,1344.660034,1094100,0.445503797468355
2019-12-11,1350.839966,1351.199951,1342.670044,1345.020020,1345.020020,850400,0.467087323943662
2019-12-12,1345.939941,1355.775024,1340.500000,1350.270020,1350.270020,1281000,0.485314516129033
2019-12-13,1347.949951,1353.093018,1343.869995,1347.829956,1347.829956,1549600,0.4430375
2019-12-16,1356.500000,1364.680054,1352.670044,1361.170044,1361.170044,1397300,0.461245
2019-12-17,1362.890015,1365.000000,1351.322998,1355.119995,1355.119995,1854000,0.477448101265823
2019-12-18,1356.599976,1360.469971,1351.000000,1352.619995,1352.619995,1522600,0.476470422535211
2019-12-19,1351.819946,1358.099976,1348.984985,1356.040039,1356.040039,1469900,0.50530294117647
2019-12-20,1363.349976,1363.640015,1349.000000,1349.589966,1349.589966,3315000,0.474113157894737
2019-12-23,1355.869995,1359.800049,1346.510010,1348.839966,1348.839966,883100,0.450364356435644
2019-12-24,1348.500000,1350.260010,1342.780029,1343.560059,1343.560059,347500,0.427738235294118
2019-12-26,1346.170044,1361.327026,1344.469971,1360.400024,1360.400024,667500,0.4544648
2019-12-27,1362.989990,1364.530029,1349.310059,1351.890015,1351.890015,1038400,0.46717
2019-12-30,1350.000000,1353.000000,1334.020020,1336.140015,1336.140015,1050900,0.482330120481928
2019-12-31,1330.109985,1338.000000,1329.084961,1337.020020,1337.020020,961800,0.412752
2020-01-02,1341.550049,1368.140015,1341.550049,1367.369995,1367.369995,1406600,0.522851851851852
2020-01-03,1347.859985,1372.500000,1345.543945,1360.660034,1360.660034,1186400,0.485944329896907
2020-01-06,1350.000000,1396.500000,1350.000000,1394.209961,1394.209961,1732300,0.463187356321839
2020-01-07,1397.939941,1402.989990,1390.380005,1393.339966,1393.339966,1502700,0.526806024096385
2020-01-08,1392.079956,1411.579956,1390.839966,1404.319946,1404.319946,1528000,0.52024358974359
2020-01-09,1420.569946,1427.329956,1410.270020,1419.829956,1419.829956,1500900,0.480945652173913
2020-01-10,1427.560059,1434.928955,1418.349976,1429.729980,1429.729980,1820700,0.444095555555556
2020-01-13,1436.130005,1440.520020,1426.020020,1439.229980,1439.229980,1652300,0.393171666666667
2020-01-14,1439.010010,1441.800049,1428.369995,1430.880005,1430.880005,1558900,0.508320408163266
2020-01-15,1430.209961,1441.395020,1430.209961,1439.199951,1439.199951,1282700,0.584759302325581
2020-01-16,1447.439941,1451.989990,1440.920044,1451.699951,1451.699951,1173700,0.64088
2020-01-17,1462.910034,1481.295044,1458.219971,1480.390015,1480.390015,2396200,0.33174375
2020-01-21,1479.119995,1491.849976,1471.199951,1484.400024,1484.400024,2036700,0.508781632653061
2020-01-22,1491.000000,1503.213989,1484.930054,1485.949951,1485.949951,1610800,0.495902777777778
2020-01-23,1487.640015,1495.520020,1482.099976,1486.650024,1486.650024,1351200,0.461356382978723
2020-01-24,1493.589966,1495.494995,1465.250000,1466.709961,1466.709961,1784600,0.500890476190476
2020-01-27,1431.000000,1438.069946,1421.199951,1433.900024,1433.900024,1755200,0.451242105263158
2020-01-28,1443.000000,1456.000000,1432.469971,1452.560059,1452.560059,1577400,0.440062068965517
2020-01-29,1458.800049,1465.430054,1446.739990,1458.630005,1458.630005,1077700,0.503128947368421
2020-01-30,1439.959961,1457.280029,1436.400024,1455.839966,1455.839966,1339400,0.525356730769231
2020-01-31,1468.900024,1470.130005,1428.530029,1434.229980,1434.229980,2417200,0.485263414634146
2020-02-03,1462.000000,1490.000000,1458.989990,1485.939941,1485.939941,3055200,0.547624390243903
